VNUM	LOCALE_NAME
1	Gold
2	Brazilian Version
10	Espada+0
11	Espada+1
12	Espada+2
13	Espada+3
14	Espada+4
15	Espada+5
16	Espada+6
17	Espada+7
18	Espada+8
19	Espada+9
20	Espada Longa+0
21	Espada Longa+1
22	Espada Longa+2
23	Espada Longa+3
24	Espada Longa+4
25	Espada Longa+5
26	Espada Longa+6
27	Espada Longa+7
28	Espada Longa+8
29	Espada Longa+9
30	Espada Curva+0
31	Espada Curva+1
32	Espada Curva+2
33	Espada Curva+3
34	Espada Curva+4
35	Espada Curva+5
36	Espada Curva+6
37	Espada Curva+7
38	Espada Curva+8
39	Espada Curva+9
40	Espada Larga+0
41	Espada Larga+1
42	Espada Larga+2
43	Espada Larga+3
44	Espada Larga+4
45	Espada Larga+5
46	Espada Larga+6
47	Espada Larga+7
48	Espada Larga+8
49	Espada Larga+9
50	Cimitarra+0
51	Cimitarra+1
52	Cimitarra+2
53	Cimitarra+3
54	Cimitarra+4
55	Cimitarra+5
56	Cimitarra+6
57	Cimitarra+7
58	Cimitarra+8
59	Cimitarra+9
60	Espada Prateada+0
61	Espada Prateada+1
62	Espada Prateada+2
63	Espada Prateada+3
64	Espada Prateada+4
65	Espada Prateada+5
66	Espada Prateada+6
67	Espada Prateada+7
68	Espada Prateada+8
69	Espada Prateada+9
70	Espada Orc+0
71	Espada Orc+1
72	Espada Orc+2
73	Espada Orc+3
74	Espada Orc+4
75	Espada Orc+5
76	Espada Orc+6
77	Espada Orc+7
78	Espada Orc+8
79	Espada Orc+9
80	Espada Bastarda+0
81	Espada Bastarda+1
82	Espada Bastarda+2
83	Espada Bastarda+3
84	Espada Bastarda+4
85	Espada Bastarda+5
86	Espada Bastarda+6
87	Espada Bastarda+7
88	Espada Bastarda+8
89	Espada Bastarda+9
90	Espada Bárbara+0
91	Espada Bárbara+1
92	Espada Bárbara+2
93	Espada Bárbara+3
94	Espada Bárbara+4
95	Espada Bárbara+5
96	Espada Bárbara+6
97	Espada Bárbara+7
98	Espada Bárbara+8
99	Espada Bárbara+9
100	Espada Sangrenta+0
101	Espada Sangrenta+1
102	Espada Sangrenta+2
103	Espada Sangrenta+3
104	Espada Sangrenta+4
105	Espada Sangrenta+5
106	Espada Sangrenta+6
107	Espada Sangrenta+7
108	Espada Sangrenta+8
109	Espada Sangrenta+9
110	Espada Nobre+0
111	Espada Nobre+1
112	Espada Nobre+2
113	Espada Nobre+3
114	Espada Nobre+4
115	Espada Nobre+5
116	Espada Nobre+6
117	Espada Nobre+7
118	Espada Nobre+8
119	Espada Nobre+9
120	Espada do Mago Voador+0
121	Espada do Mago Voador+1
122	Espada do Mago Voador+2
123	Espada do Mago Voador+3
124	Espada do Mago Voador+4
125	Espada do Mago Voador+5
126	Espada do Mago Voador+6
127	Espada do Mago Voador+7
128	Espada do Mago Voador+8
129	Espada do Mago Voador+9
130	Espada Minguante+0
131	Espada Minguante+1
132	Espada Minguante+2
133	Espada Minguante+3
134	Espada Minguante+4
135	Espada Minguante+5
136	Espada Minguante+6
137	Espada Minguante+7
138	Espada Minguante+8
139	Espada Minguante+9
140	Espada de Batalha+0
141	Espada de Batalha+1
142	Espada de Batalha+2
143	Espada de Batalha+3
144	Espada de Batalha+4
145	Espada de Batalha+5
146	Espada de Batalha+6
147	Espada de Batalha+7
148	Espada de Batalha+8
149	Espada de Batalha+9
150	Presa Fantasma+0
151	Presa Fantasma+1
152	Presa Fantasma+2
153	Presa Fantasma+3
154	Presa Fantasma+4
155	Presa Fantasma+5
156	Presa Fantasma+6
157	Presa Fantasma+7
158	Presa Fantasma+8
159	Presa Fantasma+9
160	Espada Bela+0
161	Espada Bela+1
162	Espada Bela+2
163	Espada Bela+3
164	Espada Bela+4
165	Espada Bela+5
166	Espada Bela+6
167	Espada Bela+7
168	Espada Bela+8
169	Espada Bela+9
170	Espada Traiçoeira+0
171	Espada Traiçoeira+1
172	Espada Traiçoeira+2
173	Espada Traiçoeira+3
174	Espada Traiçoeira+4
175	Espada Traiçoeira+5
176	Espada Traiçoeira+6
177	Espada Traiçoeira+7
178	Espada Traiçoeira+8
179	Espada Traiçoeira+9
180	Espada Venenosa+0
181	Espada Venenosa+1
182	Espada Venenosa+2
183	Espada Venenosa+3
184	Espada Venenosa+4
185	Espada Venenosa+5
186	Espada Venenosa+6
187	Espada Venenosa+7
188	Espada Venenosa+8
189	Espada Venenosa+9
190	Espada Felina+0
191	Espada Felina+1
192	Espada Felina+2
193	Espada Felina+3
194	Espada Felina+4
195	Espada Felina+5
196	Espada Felina+6
197	Espada Felina+7
198	Espada Felina+8
199	Espada Felina+9
200	Espada Milenar+0
201	Espada Milenar+1
202	Espada Milenar+2
203	Espada Milenar+3
204	Espada Milenar+4
205	Espada Milenar+5
206	Espada Milenar+6
207	Espada Milenar+7
208	Espada Milenar+8
209	Espada Milenar+9
210	Lâmina Mortal+0
211	Lâmina Mortal+1
212	Lâmina Mortal+2
213	Lâmina Mortal+3
214	Lâmina Mortal+4
215	Lâmina Mortal+5
216	Lâmina Mortal+6
217	Lâmina Mortal+7
218	Lâmina Mortal+8
219	Lâmina Mortal+9
220	Espada Lunar+0
221	Espada Lunar+1
222	Espada Lunar+2
223	Espada Lunar+3
224	Espada Lunar+4
225	Espada Lunar+5
226	Espada Lunar+6
227	Espada Lunar+7
228	Espada Lunar+8
229	Espada Lunar+9
230	Espada Celeste+0
231	Espada Celeste+1
232	Espada Celeste+2
233	Espada Celeste+3
234	Espada Celeste+4
235	Espada Celeste+5
236	Espada Celeste+6
237	Espada Celeste+7
238	Espada Celeste+8
239	Espada Celeste+9
240	Espada Exorcista+0
241	Espada Exorcista+1
242	Espada Exorcista+2
243	Espada Exorcista+3
244	Espada Exorcista+4
245	Espada Exorcista+5
246	Espada Exorcista+6
247	Espada Exorcista+7
248	Espada Exorcista+8
249	Espada Exorcista+9
250	Lâmina Demoníaca+0
251	Lâmina Demoníaca+1
252	Lâmina Demoníaca+2
253	Lâmina Demoníaca+3
254	Lâmina Demoníaca+4
255	Lâmina Demoníaca+5
256	Lâmina Demoníaca+6
257	Lâmina Demoníaca+7
258	Lâmina Demoníaca+8
259	Lâmina Demoníaca+9
260	Espada Baronesa+0
261	Espada Baronesa+1
262	Espada Baronesa+2
263	Espada Baronesa+3
264	Espada Baronesa+4
265	Espada Baronesa+5
266	Espada Baronesa+6
267	Espada Baronesa+7
268	Espada Baronesa+8
269	Espada Baronesa+9
270	Espada Suprema+0
271	Espada Suprema+1
272	Espada Suprema+2
273	Espada Suprema+3
274	Espada Suprema+4
275	Espada Suprema+5
276	Espada Suprema+6
277	Espada Suprema+7
278	Espada Suprema+8
279	Espada Suprema+9
280	Espada Sagrada+0
281	Espada Sagrada+1
282	Espada Sagrada+2
283	Espada Sagrada+3
284	Espada Sagrada+4
285	Espada Sagrada+5
286	Espada Sagrada+6
287	Espada Sagrada+7
288	Espada Sagrada+8
289	Espada Sagrada+9
290	Espada Plenilúnia+0
291	Espada Plenilúnia+1
292	Espada Plenilúnia+2
293	Espada Plenilúnia+3
294	Espada Plenilúnia+4
295	Espada Plenilúnia+5
296	Espada Plenilúnia+6
297	Espada Plenilúnia+7
298	Espada Plenilúnia+8
299	Espada Plenilúnia+9
460	Espada Rúnica+0
461	Espada Rúnica+1
462	Espada Rúnica+2
463	Espada Rúnica+3
464	Espada Rúnica+4
465	Espada Rúnica+5
466	Espada Rúnica+6
467	Espada Rúnica+7
468	Espada Rúnica+8
469	Espada Rúnica+9
470	Lâmina Dente de Dragão+0
471	Lâmina Dente de Dragão+1
472	Lâmina Dente de Dragão+2
473	Lâmina Dente de Dragão+3
474	Lâmina Dente de Dragão+4
475	Lâmina Dente de Dragão+5
476	Lâmina Dente de Dragão+6
477	Lâmina Dente de Dragão+7
478	Lâmina Dente de Dragão+8
479	Lâmina Dente de Dragão+9
1000	Adaga+0
1001	Adaga+1
1002	Adaga+2
1003	Adaga+3
1004	Adaga+4
1005	Adaga+5
1006	Adaga+6
1007	Adaga+7
1008	Adaga+8
1009	Adaga+9
1010	Adaga Cobra+0
1011	Adaga Cobra+1
1012	Adaga Cobra+2
1013	Adaga Cobra+3
1014	Adaga Cobra+4
1015	Adaga Cobra+5
1016	Adaga Cobra+6
1017	Adaga Cobra+7
1018	Adaga Cobra+8
1019	Adaga Cobra+9
1020	Adaga Tesoura+0
1021	Adaga Tesoura+1
1022	Adaga Tesoura+2
1023	Adaga Tesoura+3
1024	Adaga Tesoura+4
1025	Adaga Tesoura+5
1026	Adaga Tesoura+6
1027	Adaga Tesoura+7
1028	Adaga Tesoura+8
1029	Adaga Tesoura+9
1030	Faca Sortuda+0
1031	Faca Sortuda+1
1032	Faca Sortuda+2
1033	Faca Sortuda+3
1034	Faca Sortuda+4
1035	Faca Sortuda+5
1036	Faca Sortuda+6
1037	Faca Sortuda+7
1038	Faca Sortuda+8
1039	Faca Sortuda+9
1040	Faca Fenina+0
1041	Faca Fenina+1
1042	Faca Fenina+2
1043	Faca Fenina+3
1044	Faca Fenina+4
1045	Faca Fenina+5
1046	Faca Fenina+6
1047	Faca Fenina+7
1048	Faca Fenina+8
1049	Faca Fenina+9
1050	Face Demoníaca+0
1051	Face Demoníaca+1
1052	Face Demoníaca+2
1053	Face Demoníaca+3
1054	Face Demoníaca+4
1055	Face Demoníaca+5
1056	Face Demoníaca+6
1057	Face Demoníaca+7
1058	Face Demoníaca+8
1059	Face Demoníaca+9
1060	Punho Demoníaco+0
1061	Punho Demoníaco+1
1062	Punho Demoníaco+2
1063	Punho Demoníaco+3
1064	Punho Demoníaco+4
1065	Punho Demoníaco+5
1066	Punho Demoníaco+6
1067	Punho Demoníaco+7
1068	Punho Demoníaco+8
1069	Punho Demoníaco+9
1070	Adaga de Merlin+0
1071	Adaga de Merlin+1
1072	Adaga de Merlin+2
1073	Adaga de Merlin+3
1074	Adaga de Merlin+4
1075	Adaga de Merlin+5
1076	Adaga de Merlin+6
1077	Adaga de Merlin+7
1078	Adaga de Merlin+8
1079	Adaga de Merlin+9
1080	Costela Afiada+0
1081	Costela Afiada+1
1082	Costela Afiada+2
1083	Costela Afiada+3
1084	Costela Afiada+4
1085	Costela Afiada+5
1086	Costela Afiada+6
1087	Costela Afiada+7
1088	Costela Afiada+8
1089	Costela Afiada+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Faca Dragão+0
1101	Faca Dragão+1
1102	Faca Dragão+2
1103	Faca Dragão+3
1104	Faca Dragão+4
1105	Faca Dragão+5
1106	Faca Dragão+6
1107	Faca Dragão+7
1108	Faca Dragão+8
1109	Faca Dragão+9
1110	Faca Relâmpago+0
1111	Faca Relâmpago+1
1112	Faca Relâmpago+2
1113	Faca Relâmpago+3
1114	Faca Relâmpago+4
1115	Faca Relâmpago+5
1116	Faca Relâmpago+6
1117	Faca Relâmpago+7
1118	Faca Relâmpago+8
1119	Faca Relâmpago+9
1120	Faca Siamesa+0
1121	Faca Siamesa+1
1122	Faca Siamesa+2
1123	Faca Siamesa+3
1124	Faca Siamesa+4
1125	Faca Siamesa+5
1126	Faca Siamesa+6
1127	Faca Siamesa+7
1128	Faca Siamesa+8
1129	Faca Siamesa+9
1130	Asas Demoníacas+0
1131	Asas Demoníacas+1
1132	Asas Demoníacas+2
1133	Asas Demoníacas+3
1134	Asas Demoníacas+4
1135	Asas Demoníacas+5
1136	Asas Demoníacas+6
1137	Asas Demoníacas+7
1138	Asas Demoníacas+8
1139	Asas Demoníacas+9
