VNUM	LOCALE_NAME
101	Cao Selvagem
102	Lobo
103	Lobo Alfa
104	Lobo Azul
105	Lobo Alfa Azul
106	Lobo Cinzento
107	Lobo Alfa Cinzento
108	Javali Selvagem
109	Javali Vermelho
110	Urso
111	Urso Cinzento
112	Urso Negro
113	Urso Pardo
114	Tigre
115	Tigre Branco
131	Lobo Amaldiçoado
132	Lobo Púrpura
133	Lobo Roxo
134	Lobo Alfa Púrpura
135	Lobo Alfa Roxo
136	Lobo Maldito
137	Javali Amaldiçoado
138	Javali Laranja
139	Urso Amaldiçoado
140	Urso Púrpura
141	Urso Roxo
142	Urso Vermelho
143	Tigre Amaldiçoado
144	Tigre Púrpura
151	Chomok
152	Murang
153	Jokyor
154	Yonji
155	Irlan
171	Cao Feroz
172	Lobo Feroz
173	Lobo Alfa Feroz
174	Lobo Azul Feroz
175	Lobo Alfa Faminto
176	Lobo Cinzento Feroz
177	Lobo Vermelho
178	Javali Feroz
179	Javali Faminto
180	Urso Feroz
181	Urso Púrpura Feroz
182	Urso Roxo Feroz
183	Urso Vermelho Feroz
184	Tigre Feroz
185	Tigre Vermelho
191	Sangyonshin
192	Joshin
193	Unshin
194	Hoshin
301	Soldado Branco
302	Arqueira Branca
303	General Branco
304	Comandante Branco
331	Soldado Verde
332	Arqueira Verde
333	General Verde
334	Comandante Verde
351	Soldado Vermelho
352	Arqueira Vermelha
353	General Vermelho
354	Comandante Vermelho
391	Mijon
392	Eunjon
393	Seran
394	Jinhi
395	Mijon de Elite
396	Eunjon de Elite
397	Seran de Elite
398	Jinhi de Elite
401	Vândalo
402	Vândalo Maniaco
403	Vândalo Arqueiro
404	Vândalo Brigao
405	Vândalo Valente
406	Vândalo Gigante
431	Bandido
432	Bandido Maniaco
433	Bandido Arqueiro
434	Bandido Brigao
435	Bandido Valente
436	Bandido Gigante
451	Gângster
452	Gângster Maniaco
453	Gângster Arqueiro
454	Gângster Brigao
455	Gângster Valente
456	Gângster Gigante
491	Meng Hwan
492	Bhou
493	Goopae
494	Chohun
501	Barbaro
502	Barbaro Assecla
503	Barbaro Arqueiro
504	Barbaro General
531	Invasor
532	Invasor Assecla
533	Invasor Arqueiro
534	Invasor General
551	Selvagem
552	Selvagem Assecla
553	Selvagem Arqueiro
554	Selvagem General
591	Capitao Bestial
595	Capitao Arqueiro
601	Orc
602	Batedor Orc
603	Guerreiro Orc
604	Feiticeiro Orc
631	Orc Bravo
632	Batedor Orc Bravo
633	Guerreiro Orc Bravo
634	Feiticeiro Orc Bravo
635	General Orc Bravo
636	Orc Negro Bravo
637	Orc Negro Gigante Bravo
651	Orc de Elite
652	Batedor Orc de Elite
653	Guerreiro Orc de Elite
654	Feiticeiro Orc de Elite
655	General Orc de Elite
656	Orc Negro
657	Orc Negro Gigante
691	Orc Chefe
692	Orc Chefe de Elite
693	Grande Chefe dos Orcs
701	Fanatico
702	Fanatico Soldado
703	Fanatico Guerreiro
704	Fanatico Lutador
705	Fanatico Executor
706	Fanatico Torturador
707	Fanatico Evocador
731	Fanatico Zen
732	Fanatico Soldado Zen
733	Fanatico Guerreiro Zen
734	Fanatico Lutador Zen
735	Fanatico Executor Zen
736	Fanatico Torturador Zen
737	Fanatico Evocador Zen
751	Fanatico Pro
752	Fanatico Soldado Pro
753	Fanatico Guerreiro Pro
754	Fanatico Lutador Pro
755	Fanatico Executor Pro
756	Fanatico Torturador Pro
757	Fanatico Evocador Pro
771	Fanatico Max
772	Fanatico Soldado Max
773	Fanatico Guerreiro Max
774	Fanatico Lutador Max
775	Fanatico Executor Max
776	Fanatico Torturador Max
777	Fanatico Evocador Max
791	Lider Fanatico
792	Lider Fanatico Zen
793	Lider Fanatico Pro
794	Lider Fanatico Max
795	Chefe Fanatico
796	Chefe Fanatico Max
901	Fantasma Pestilento
902	Cao Pestilento
903	Homem Pestilento
904	Espadachim Pestilento
905	Lanceiro Pestilento
906	Arqueiro Pestilento
907	Lider Pestilento
931	Fantasma Rancoroso
932	Cao Rancoroso
933	Homem Rancoroso
934	Espadachim Rancoroso
935	Lanceiro Rancoroso
936	Arqueiro Rancoroso
937	Lider Rancoroso
991	Ovo Pestilento
992	Transportador Pestilento
993	Lider Pestilento
1001	Demonio
1002	Demonio Arqueiro
1003	Demonio Lanceiro
1004	Demonio Shaman
1031	Rancoroso
1032	Rancoroso Arqueiro
1033	Rancoroso Lanceiro
1034	Rancoroso Shaman
1035	Rancoroso Fantasma
1036	Rancoroso Caótico
1037	Rancoroso Soldado
1038	Rancoroso Esqueleto
1039	Rancoroso Espectral
1040	Rancoroso Bestial
1041	Rancoroso Demoniaco
1061	Vingador
1062	Vingador Arqueiro
1063	Vingador Lanceiro
1064	Vingador Shaman
1065	Vingador Fantasma
1066	Vingador Caótico
1067	Vingador Soldado
1068	Vingador Esqueleto
1069	Vingador Espectral
1070	Vingador Bestial
1071	Vingador Demoniaco
1091	Rei Demonio
1092	Rei Demonio de Elite
1093	Ceifadora da Morte
1094	Rei Demonio Roxo
1095	Ceifadora Azul
1096	Rei Demonio de Elite
1101	Pilar de Gelo
1102	Orca do Gelo
1103	Besouro do Gelo
1104	Leao do Gelo
1105	Homem do Gelo
1106	Yeti
1107	Golem de Gelo
1131	Pilar de Gelo Bruto
1132	Orca do Gelo Bruto
1133	Besouro do Gelo Bruto
1134	Leao do Gelo Bruto
1135	Homem do Gelo Bruto
1136	Yeti Bruto
1137	Golem de Gelo Bruto
1151	Pilar de Gelo Jr
1152	Orca do Gelo Jr
1153	Besouro do Gelo Jr
1154	Leao do Gelo Jr
1155	Homem do Gelo Jr
1156	Yeti Jr
1157	Golem de Gelo Jr
1171	Pilar de Gelo Rubro
1172	Orca do Gelo Rubro
1173	Besouro do Gelo Rubro
1174	Leao do Gelo Rubro
1175	Homem do Gelo Rubro
1176	Yeti Rubro
1177	Golem de Gelo Rubro
1191	Bruxa de Gelo
1192	Bruxa do Ceu
1301	Sapo Soldado
1302	Sapo Lider
1303	Bicho Papao
1304	Comandante Tigre
1305	General Sapo Boi
1306	General Tigre
1307	Lider Tigre
1308	Soldado Tigre
1309	Capitao Tigre
1310	Major Tigre
1331	Sapo Soldado Rubro
1332	Sapo Lider Rubro
1333	Bicho Papao Rubro
1334	Comandante Tigre Rubro
1335	General Sapo Boi Rubro
1401	Gigante Soldado
1402	Gigante Batedor
1403	Gigante Herói
1501	Soldado de Pedra
1502	Guerreiro de Pedra
1503	Comandante de Pedra
1601	Gigante Operario
1602	Gigante Supervisor
1603	Gigante Gladiador
1901	Nove Caudas
1902	Nove Caudas de Elite
1903	Nove Caudas Sombrio
1904	Nove Caudas Selvagem
1905	Nove Caudas Feroz
1906	Nove Caudas Supremo
2001	Aranha
2002	Aranha Venenosa
2003	Aranha Vermelha
2004	Aranha de Garra
2005	Aranha Soldado
2031	Aranha Mortal
2032	Aranha Venenosa Mortal
2033	Aranha Vermelha Mortal
2034	Aranha de Garra Mortal
2035	Aranha Soldado Mortal
2036	Aranha Soldado Agressiva
2051	Aranha Violenta
2052	Aranha Venenosa Violenta
2053	Aranha Vermelha Violenta
2054	Aranha de Garra Violenta
2055	Aranha Soldado Violenta
2061	Aranha Alfa
2062	Aranha Venenosa Alfa
2063	Aranha Vermelha Alfa
2064	Aranha de Garra Alfa
2065	Aranha Soldado Alfa
2071	Aranha de Elite
2072	Aranha Venenosa de Elite
2073	Aranha Vermelha de Elite
2074	Aranha de Garra de Elite
2075	Aranha Soldado de Elite
2076	Aranha Soldado Odiosa
2091	Aranha Rainha
2092	Aranha Rei
2093	Aranha Imperadora
2094	Aranha Imperadora
2095	Bolsa Ovos de Aranha
2101	Raposa
2102	Olho Destruidor
2103	Escorpiao
2104	Escorpiao Soldado
2105	Escorpiao Arqueiro
2106	Cobra Soldado
2107	Cobra Arqueira
2108	Bandido do Deserto
2131	Escorpiao Guerreiro
2132	Escorpiao Atirador
2133	Cobra Guerreira
2134	Cobra Atiradora
2135	Gângster do Deserto
2151	Raposa Roxa
2152	Olho Destruidor Roxo
2153	Escorpiao Roxo
2154	Escorpiao Soldado Roxo
2155	Escorpiao Arqueiro Roxo
2156	Cobra Soldado Roxa
2157	Cobra Arqueira Roxa
2158	Bandido do Deserto Roxo
2191	Tartaruga de Pedra
2192	Tartaruga de Areia
2201	Pantera Infernal
2202	Fantasma Flamejante
2203	Pantera Demoniaca
2204	Guardiao Infernal
2205	Soldado Flamejante
2206	Rei Flamejante
2207	Rei Flamejante Elite
2231	Pantera Infernal Roxa
2232	Fantasma Flamejante Roxo
2233	Pantera Demoniaca Roxa
2234	Guardiao Infernal Roxo
2235	Soldado Flamejante Roxo
2291	Dragao de Fogo
2301	Árvore Fantasma
2302	Tronco Fantasma
2303	Driade
2304	Salgueiro Fantasma
2305	Árvore Maligna
2306	Árvore Maldita
2307	Árvore Demoniaca
2311	Árvore Fantasma Roxa
2312	Tronco Fantasma Roxo
2313	Driade Roxa
2314	Salgueiro Fantasma Roxo
2315	Árvore Maligna Roxa
2401	Soldado Celeste
2402	Arqueiro Celeste
2403	Maga Celeste
2404	Guardiao Celeste
2411	Soldado Celeste Elite
2412	Arqueiro Celeste Elite
2413	Maga Celeste Elite
2414	Guardiao Celeste Elite
2431	Soldado Celeste
2432	Arqueiro Celeste
2433	Maga Celeste
2434	Guardiao Celeste
2451	Soldado Celeste Elite
2452	Arqueiro Celeste Elite
2453	Maga Celeste Elite
2454	Guardiao Celeste Elite
2491	General Celeste
2492	General Celeste Elite
2493	Dragao da agua
2494	General Celeste
2495	General Celeste Elite
2501	Demoniaco
2502	Carniçal Maligno
2503	Serviçal Demoniaco
2504	Guerreiro Demoniaco
2505	Lanceiro Demoniaco
2506	Arqueiro Demoniaco
2507	Dominador Demoniaco
2508	Ceifador Espectral
2509	Arqueiro Espectral
2510	Lanceiro Espectral
2511	Espectro Sombrio
2512	Assassino Espectral
2513	Tita Espectral
2514	Caçador Espectral
2541	Ceifador Diabólico
2542	Arqueiro Diabólico
2543	Lanceiro Diabólico
2544	Shaman Diabólico
2545	Assassino Diabólico
2546	Tita Diabólico
2547	Caçador Diabólico
2591	Guardiao
2592	Guardiao
2593	Guardiao
2594	Guardiao
2595	Guardiao
2596	Guardiao
2597	Ceifadora Sangrenta
2598	Lord Gahnasel
3001	Gnoll Guerreiro
3002	Gnoll Arqueiro
3003	Gnoll Guarda-costas
3004	Gnoll Feiticeiro
3005	Gnoll General
3090	Lorde Gnoll
3091	Gnoll Supremo
3101	Ciclope Batedor
3102	Ciclope Soldado
3103	Ciclope Mago
3104	Ciclope Executor
3105	Outis
3190	Arges
3191	Polyphemus
3201	Manticora Guerreiro
3202	Manticora Soldado
3203	Manticora Mago
3204	Manticora Executor
3205	Manticora General
3290	Manticora Diabólica
3291	Manticora Quimera
3301	Lemur Guerreiro
3302	Lemur Soldado
3303	Lemur Feiticeiro
3304	Lemur Executor
3305	Lemur General
3390	Lemur Principe
3391	Lemur Guarda-costas
3401	Tritao Moreia
3402	Tritao Tubarao
3403	Tritao Feiticeiro
3404	Tritao Caçador
3405	Tritao Dilacerador
3490	General Kappa
3491	Tritao
3501	Amazona Vermelha
3502	Assassino Vermelho
3503	Mago Vermelho
3504	Executor Vermelho
3505	General Negro
3551	Amazona Brutal
3552	Assassino Brutal
3553	Mago Brutal
3554	Executor Brutal
3555	General Branco
3590	Esqueleto
3591	Monarca Vermelho
3595	Esqueleto Brutal
3596	Monarca Brutal
3601	Artrópode Guerreiro
3602	Artrópode de Infantaria
3603	Artrópode Soldado
3604	Artrópode Diabólico
3605	Artrópode de Armadura
3690	General Lagosta
3691	Caranguejo Rei
3701	Mastigador Colossal
3702	Matador Colossal
3703	Mago Colossal
3704	Gêmeos
3705	Capitao Gancho
3790	Gargula
3791	Rei Anfibio
3801	Ogro Selvagem
3802	Ogro Arqueiro
3803	Ogro Lutador
3804	Ogro Feiticeiro
3805	General Ogro
3890	Capitao Ogro
3891	Grande Ogro
3901	Ent Sabio
3902	Ent Monstruoso
3903	Ent Cansado
3904	Capitao Gancho
3905	Seran Suprema
3906	Jinhi Suprema
3907	Feiticeiro Vermelho
3908	Executor Brutal Vermelho
3909	Marechal Branco
3910	Esqueleto Mortal
3911	Árvore das Trevas
3912	Árvore do Caos
3913	Árvore da Morte
5001	Tanaka o Pirata
5002	Hae-Tae
5003	Macaco
5004	Tanaka O Pirata
5101	Macaco Soldado Jr
5102	Macaco Lançador Jr
5103	Macaco Lutador Jr
5104	Macaco General Jr
5111	Macaco Soldado
5112	Macaco Lançador
5113	Macaco Lutador
5114	Macaco General
5115	Macaco de Pedra
5116	Macaco Lider
5121	Macaco Soldado Forte
5122	Macaco Lançador Forte
5123	Macaco Lutador Forte
5124	Macaco General Forte
5125	Macaco de Pedra Forte
5126	Homem Macaco
5127	Homem Macaco Chefe
5131	Macaco Soldado Fraco
5132	Macaco Lançador Fraco
5133	Macaco Lutador Fraco
5134	Macaco General Fraco
5141	Macaco Soldado Medio
5142	Macaco Lançador Medio
5143	Macaco Lutador Medio
5144	Macaco General Medio
5145	Macaco de Pedra Medio
5146	Macaco Lider Medio
5151	Macaco Soldado Bravo
5152	Macaco Lançador Bravo
5153	Macaco Lutador Bravo
5154	Macaco General Bravo
5155	Macaco de Pedra Bravo
5156	Homem Macaco Bravo
5157	Homem Macaco Lider
5161	Macaco Rochoso
5162	Homem Macaco Elite
5163	Lorde Macaco
6001	Fogo Encarnado
6002	Tigre de Brasas
6003	Berseker de Fogo
6004	Guerreiro Sangrento
6005	Guerreiro Condenado
6006	Fogo Insano
